id,name,reaction_count,associated_reactions
BSU22060,pbuX,1,XANt2
BSU06470,purQ,1,PRFGS_1
BSU22070,xpt,1,XPPT
BSU06480,purL,1,PRFGS_1
BSU06460,purS,1,PRFGS_1
BSU32440,pucK,1,URATEt_1
BSU17600,xylA,2,"XYLI1, XYLI2"
BSU32430,pucJ,1,URATEt_1
BSU17610,xylB,1,XYLK
BSU34880,hisA,1,PRMICI
BSU03200,putB,1,PRO1x
BSU02850,znuA,1,ZNabc
BSU06660,opuE,1,PROt2r
BSU02870,znuB,1,ZNabc
BSU02860,znuC,1,ZNabc
BSU30530,ytnA,1,PROt2r
BSU19580,yodF,1,PROt2r
BSU03220,putP,1,PROt2r
BSU00510,prs,1,PRPPS
