id,name,reaction_count,associated_reactions
BSU33830,opuCA,9,"CTBTabc, CHLabc, PROLBabc, GLYBabc, CHOLSabc_1, CRNabc, GBBTNabc, ARSENBabc, ECTOINEabc"
BSU01610,feuC,1,FE2abc
BSU01630,feuA,1,FE2abc
BSU38280,efeU,1,FE3t
BSU03000,opuAC,3,"PROLBabc, GLYBabc, ARSENBabc"
BSU02990,opuAB,3,"PROLBabc, GLYBabc, ARSENBabc"
BSU33820,opuCB,9,"CTBTabc, CHLabc, PROLBabc, GLYBabc, CHOLSabc_1, CRNabc, GBBTNabc, ARSENBabc, ECTOINEabc"
BSU00680,hprT,2,"GUAPRT, HXPRT"
BSU06370,pbuG,2,"HXANt2r, GUAt2r"
BSU38260,efeN,1,FE3t
BSU33810,opuCC,9,"CTBTabc, CHLabc, PROLBabc, GLYBabc, CHOLSabc_1, CRNabc, GBBTNabc, ARSENBabc, ECTOINEabc"
BSU38270,efeM,1,FE3t
BSU02980,opuAA,3,"PROLBabc, GLYBabc, ARSENBabc"
BSU29990,pbuO,2,"HXANt2r, GUAt2r"
BSU08450,yfiZ,1,FEDCabc
BSU12300,uxaC,2,"GUI1, GUI2"
BSU32840,fadN,9,"HACD7, HACD2, HACD4, HACD3, HACD1_1, HACD6, HACOADr, HACD5, HACD9"
BSU30070,opuD,2,"ARSENBt2, GLYBt2r"
BSU08460,yfhA,1,FEDCabc
BSU08440,yfiY,1,FEDCabc
BSU05340,ydfA,1,ARSt1
BSU24160,mmgB,1,HACD1_1
BSU14870,ctaA,1,HEMEAS
BSU33320,fhuD,1,FERRICHabc
BSU14880,ctaB,1,HEMEOS_1
BSU36030,ywrK,1,ARSt1
BSU03800,yclN,1,FERRICHabc
BSU16750,asd,1,ASAD
BSU23580,ansA,1,ASNN
BSU07500,yfmE,1,FERRICHabc
BSU39920,asnH,1,ASNS1
BSU12080,ctaO,1,HEMEOS_1
BSU38300,thiM,1,HETZK
BSU33290,fhuC,2,"FERXAabc, FERRICHabc"
BSU24850,glcK,1,HEX1
BSU10790,asnO,1,ASNS1
BSU03810,yclO,1,FERRICHabc
BSU22740,hepT,1,HEXTT
BSU07510,yfmD,1,FERRICHabc
BSU22760,hepS,1,HEXTT
BSU33510,copZ,1,HGt
BSU30540,asnB,1,ASNS1
BSU03820,yclP,1,FERRICHabc
BSU22410,panD,1,ASP1DC
BSU03830,yclQ,1,FERRICHabc
BSU07520,yfmC,1,FERRICHabc
BSU07990,yfjR,1,HIBD
BSU33300,fhuG,2,"FERXAabc, FERRICHabc"
BSU39350,hutH,1,HISDr
BSU15490,pyrB,1,ASPCT
BSU03790,yclM,1,ASPK
BSU31610,mrpB,2,"Kt3r, NAt3_1"
BSU28470,lysC,1,ASPK
BSU16760,dapG,1,ASPK
BSU34910,hisD,1,HISTD
BSU31650,mrpF,2,"Kt3r, NAt3_1"
BSU29620,hisJ,1,HISTP
BSU31322,yugO,1,Kt1
BSU39390,hutM,1,HISt2r
BSU27870,nadB,2,"ASPO6, ASPO1"
BSU28510,xsa,2,"LAAF, XYL14BASE"
BSU02400,ybgF,1,HISt2r
BSU28720,abfA,1,LAAF
BSU37710,bacD,42,"LAAL13, LAAL39, LAAL28, LAAL22, LAAL35, LAAL19, LAAL26, LAAL10, LAAL14, LAAL25, LAAL36, LAAL24, LAAL16, LAAL15, LAAL41, LAAL5, LAAL2, LAAL27, LAAL3, LAAL37, LAAL1, LAAL23, LAAL7, LAAL6, LAAL42, LAAL34, LAAL20, LAAL12, LAAL38, LAAL9, LAAL31, LAAL11, LAAL32, LAAL40, LAAL4, LAAL29, LAAL30, LAAL18, LAAL33, LAAL8, LAAL17, LAAL21"
